ID,Query,Expected Summary,Expected Link 1
1,How do I secure my cryptocurrency holdings?,Gemini Bank takes cryptocurrency security seriously. We utilize industry-leading cold storage solutions and offer optional insurance protection.,gs://argolis-arau-gemini-bank/Frequently Asked Questions.pdf
2,How much is the fee for an outgoing international wire transfer in USD for a customer with a Rewards account?,The fee for an outgoing international wire transfer in USD for a customer with a Rewards account is $30.,gs://argolis-arau-gemini-bank/Wire Transfer Fee Schedule.pdf
3,I am having trouble with a technical issue that I cannot resolve. Can I speak to your supervisor?,"If a representative is unable to resolve a complex technical problem or the system is down, escalate the issue to a supervisor or designated technical support team.",gs://argolis-arau-gemini-bank/Procedure - Supervisor Escalation for Contact Center Agents.pdf
4,What is the name of this bank?,Gemini Bank,gs://argolis-arau-gemini-bank/General Information About Gemini Bank.pdf
5,"If my account has a history of no overdrafts in the last year, could I be eligible for a refund on my first overdraft fee?","Yes, if you have a history of good account standing, meaning minimal to no overdrafts in the past year, you may be eligible for a one-time courtesy refund for the first overdraft fee within a 12-month period.",gs://argolis-arau-gemini-bank/Procedure - Overdraft Fee Refunds.pdf
6,I think there was a fraudulent charge on my credit card. What do I need to do to report it?,"You will need to contact Gemini Bank's Contact Center (Fraud Department) and a representative will go through the steps to report the fraudulent charge, including initiating an SMS verification, gathering information about the potential fraudulent charge, and validating the fraudulent charge. Once validated, a formal fraud claim will be filed and you will be informed of next steps and receive a provisional credit, if applicable, and a replacement card.",gs://argolis-arau-gemini-bank/Procedure - Handling Potential Fraudulent Credit Card Charges.pdf
7,"If I close my new savings account within 30 days, will I be charged a fee?","Yes, you will be charged a $25 fee unless the closure is due to a Gemini Bank error in account opening or customer dissatisfaction with a product or service disclosed during the opening process.",gs://argolis-arau-gemini-bank/Procedure - Savings Account Opening.pdf
8,"If I open a 3 month CD, how much do I need to deposit initially?","You will need to deposit $1,000 to open a 3-Month CD.",gs://argolis-arau-gemini-bank/Consumer Deposit Product APY Rate Sheet.pdf
9,What is the annual fee for the Gemini Voyager card?,The annual fee for the Gemini Voyager card is $95.,gs://argolis-arau-gemini-bank/Current Consumer Credit Card Product Offering.pdf
10,"I am a Rewards customer, and I need to send money overseas in a different currency, how much will it cost me?","It will cost you 0.5% of the transfer amount, with a minimum charge of $20.",gs://argolis-arau-gemini-bank/Wire Transfer Fee Schedule.pdf
11,I've been waiting for hours for someone to help me fix a technical issue and I can't access the system. Can I please talk to your supervisor?,"Yes, we understand your frustration, and we'll connect you with our supervisor. They'll have the most experience in resolving technical issues. ",gs://argolis-arau-gemini-bank/Procedure - Supervisor Escalation for Contact Center Agents.pdf
12,What are the perks of the Rewards Checking Account?,"The Perks of the Rewards Checking Account are Cashback rewards, ATM fee reimbursements.",gs://argolis-arau-gemini-bank/Current Consumer Checking Product Offering.pdf
13,What types of banking services does Gemini Bank offer?,"Gemini Bank offers checking, savings, CDs, credit cards, loans, lines of credit, mortgages and treasury services.",gs://argolis-arau-gemini-bank/General Information About Gemini Bank.pdf
14,"If I have a history of good account standing and this is my first overdraft, will I be eligible for a refund?",Customers with a history of good account standing (minimal to no overdrafts in the past year) may be eligible for a one-time courtesy refund for the first overdraft fee within a 12-month period.,gs://argolis-arau-gemini-bank/Procedure - Overdraft Fee Refunds.pdf
15,What happens if I think there's a fraudulent charge on my credit card?,Gemini Bank will investigate the claim thoroughly. They will also explain the process for receiving a provisional credit and a replacement card.,gs://argolis-arau-gemini-bank/Procedure - Handling Potential Fraudulent Credit Card Charges.pdf
16,"If I close my new savings account within 30 days of opening, will I be charged a fee?","Yes, you will be charged a $25 fee unless the closure is due to a Gemini Bank error in account opening, customer dissatisfaction with a product or service disclosed during the opening process, or insufficient funds.",gs://argolis-arau-gemini-bank/Procedure - Savings Account Opening.pdf
17,"If I were to open a 12-Month Certificate of Deposit (CD), how much money would I need to deposit to open the account?","You would need to deposit $1,000 to open a 12-Month Certificate of Deposit.",gs://argolis-arau-gemini-bank/Consumer Deposit Product APY Rate Sheet.pdf
18,What is the fee for an outgoing domestic wire transfer with a Rewards account?,The fee for an outgoing domestic wire transfer with a Rewards account is $15.,gs://argolis-arau-gemini-bank/Wire Transfer Fee Schedule.pdf
