ID,Query,Expected Summary,Expected Link 1,Expected Link 2,Expected Link 3
1,What is Google's total revenue for 2022?,Google's revenue was $282.8 billion in 2022,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230426_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230203_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2021_Q4_Earnings_Transcript.pdf
2,What is Google's total  revenue for Q3 of 2022?,Revenue was $69.1 billion,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022Q3_alphabet_earnings_release.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20221025_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2004Q3_earnings.pdf
3,How much did Google invest in research and development (R&D) in 2022?,Google's parent company Alphabet spent $39.5 billion on research and development (R&D) in 2022,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230203_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20221025_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20220427_alphabet_10Q.pdf
4,Who was the CEO of Alphabet in 2022?,Sundar Pichai was the CEO of Alphabet in 2022,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022Q4_alphabet_earnings_release.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2021Q1_alphabet_earnings_release.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2020Q4_alphabet_earnings_release.pdf
5,Who was the CFO of Alphabet in 2022?,Ruth Porat was the CFO of Alphabet in 2022,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022Q3_alphabet_earnings_release.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q3_Earnings_Transcript.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q4_Earnings_Transcript.pdf
6,List all the revenue sources for Google in 2022,"Ads, Digital content, hardware, cloud and in-app sales",gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20200204_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20221025_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20220427_alphabet_10Q.pdf
7,What was Google Cloud Total Revenue for 2022?,$26.28 billion,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_alphabet_annual_report.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q4_Earnings_Transcript.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q4_Earnings_Transcript.pdf
8,When did did Google become carbon neutral?,Since 2007 Google has been carbon neutral,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2020_alphabet_annual_report.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20220202_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20210203_alphabet_10K.pdf
9,What was the Alphabet total net income in 2022?,Alphabet total net income was $59.9 billion in 2022,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230203_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230203_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20220726_alphabet_10Q.pdf
10,How many employees does Alphabet have end of year 2022?,approximately 190000,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_alphabet_annual_report.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230203_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022Q1_alphabet_earnings_release.pdf
11,What is Google's total revenue for 2022?,Google's revenue was $282.8 billion in 2022,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230426_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230203_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2021_Q4_Earnings_Transcript.pdf
12,What is Google's total  revenue for Q3 of 2022?,Revenue was $69.1 billion,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022Q3_alphabet_earnings_release.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20221025_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2004Q3_earnings.pdf
13,How much did Google invest in research and development (R&D) in 2022?,Google's parent company Alphabet spent $39.5 billion on research and development (R&D) in 2022,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20230203_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20221025_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20220427_alphabet_10Q.pdf
14,Who is the CEO of Google?,Sundar Pichai,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2020_alphabet_annual_report.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2021Q1_alphabet_earnings_release.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2020Q4_alphabet_earnings_release.pdf
15,Who is the CFO of Google?,Ruth Porat,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20151231_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q3_Earnings_Transcript.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q4_Earnings_Transcript.pdf
16,List all the revenue sources for Google in 2022,"Ads, Digital content, hardware, cloud and in-app sales",gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20200204_alphabet_10K.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20221025_alphabet_10Q.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/20220427_alphabet_10Q.pdf
17,What was Google Cloud Total Revenue for 2022?,$26.28 billion,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_alphabet_annual_report.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q4_Earnings_Transcript.pdf,gs://cloud-samples-data/gen-app-builder/search/alphabet-investor-pdfs/2022_Q4_Earnings_Transcript.pdf
